"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-02-15,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-15,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-15,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-15,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-02-16,"BC","All","All",0,0
2020-02-16,"BC","Fraser","All",0,0
2020-02-16,"BC","Fraser","Fraser East",0,0
2020-02-16,"BC","Fraser","Fraser North",0,0
2020-02-16,"BC","Fraser","Fraser South",0,0
2020-02-16,"BC","Fraser","Unknown",0,0
2020-02-16,"BC","Interior","All",0,0
2020-02-16,"BC","Interior","East Kootenay",0,0
2020-02-16,"BC","Interior","Kootenay Boundary",0,0
2020-02-16,"BC","Interior","Okanagan",0,0
2020-02-16,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-16,"BC","Northern","All",0,0
2020-02-16,"BC","Northern","Northeast",0,0
2020-02-16,"BC","Northern","Northern Interior",0,0
2020-02-16,"BC","Northern","Northwest",0,0
2020-02-16,"BC","Vancouver Coastal","All",0,0
2020-02-16,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-16,"BC","Vancouver Coastal","Richmond",0,0
2020-02-16,"BC","Vancouver Coastal","Unknown",0,0
2020-02-16,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-16,"BC","Vancouver Island","All",0,0
2020-02-16,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-16,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-16,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-16,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-02-17,"BC","All","All",0,0
2020-02-17,"BC","Fraser","All",0,0
2020-02-17,"BC","Fraser","Fraser East",0,0
2020-02-17,"BC","Fraser","Fraser North",0,0
2020-02-17,"BC","Fraser","Fraser South",0,0
2020-02-17,"BC","Fraser","Unknown",0,0
2020-02-17,"BC","Interior","All",0,0
2020-02-17,"BC","Interior","East Kootenay",0,0
2020-02-17,"BC","Interior","Kootenay Boundary",0,0
2020-02-17,"BC","Interior","Okanagan",0,0
2020-02-17,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-17,"BC","Northern","All",0,0
2020-02-17,"BC","Northern","Northeast",0,0
2020-02-17,"BC","Northern","Northern Interior",0,0
2020-02-17,"BC","Northern","Northwest",0,0
2020-02-17,"BC","Vancouver Coastal","All",0,0
