#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, Mar 1, 2022 at 10:41:54.023
116	Split	00:00:00.209	00:00:39.065	Tue, Mar 1, 2022 at 10:42:33.088
117	Split	00:00:00.180	00:00:39.245	Tue, Mar 1, 2022 at 10:42:33.268
118	Split	00:00:00.203	00:00:39.448	Tue, Mar 1, 2022 at 10:42:33.471
119	Split	00:00:00.172	00:00:39.620	Tue, Mar 1, 2022 at 10:42:33.643
120	Split	00:00:00.208	00:00:39.828	Tue, Mar 1, 2022 at 10:42:33.851
121	Split	00:00:00.180	00:00:40.008	Tue, Mar 1, 2022 at 10:42:34.031
122	Split	00:00:00.184	00:00:40.192	Tue, Mar 1, 2022 at 10:42:34.215
123	Split	00:00:00.190	00:00:40.382	Tue, Mar 1, 2022 at 10:42:34.405
124	Split	00:00:00.203	00:00:40.585	Tue, Mar 1, 2022 at 10:42:34.608
125	Split	00:00:00.170	00:00:40.755	Tue, Mar 1, 2022 at 10:42:34.778
126	Split	00:00:00.215	00:00:40.970	Tue, Mar 1, 2022 at 10:42:34.993
127	Split	00:00:00.231	00:00:41.201	Tue, Mar 1, 2022 at 10:42:35.224
128	Split	00:00:00.217	00:00:41.418	Tue, Mar 1, 2022 at 10:42:35.441
129	Split	00:00:00.191	00:00:41.609	Tue, Mar 1, 2022 at 10:42:35.632
130	Split	00:00:00.222	00:00:41.831	Tue, Mar 1, 2022 at 10:42:35.854
131	Split	00:00:00.184	00:00:42.015	Tue, Mar 1, 2022 at 10:42:36.038
132	Split	00:00:00.205	00:00:42.220	Tue, Mar 1, 2022 at 10:42:36.243
133	Split	00:00:00.230	00:00:42.450	Tue, Mar 1, 2022 at 10:42:36.473
134	Split	00:00:00.205	00:00:42.655	Tue, Mar 1, 2022 at 10:42:36.678
135	Split	00:00:00.170	00:00:42.825	Tue, Mar 1, 2022 at 10:42:36.848
136	Split	00:00:00.178	00:00:43.003	Tue, Mar 1, 2022 at 10:42:37.026
137	Split	00:00:00.162	00:00:43.165	Tue, Mar 1, 2022 at 10:42:37.188
138	Split	00:00:00.168	00:00:43.333	Tue, Mar 1, 2022 at 10:42:37.356
139	Split	00:00:00.151	00:00:43.484	Tue, Mar 1, 2022 at 10:42:37.507
140	Split	00:00:00.201	00:00:43.685	Tue, Mar 1, 2022 at 10:42:37.708
141	Split	00:00:00.251	00:00:43.936	Tue, Mar 1, 2022 at 10:42:37.959
142	Split	00:00:00.200	00:00:44.136	Tue, Mar 1, 2022 at 10:42:38.159
143	Split	00:00:00.165	00:00:44.301	Tue, Mar 1, 2022 at 10:42:38.324
144	Split	00:00:00.170	00:00:44.471	Tue, Mar 1, 2022 at 10:42:38.494
145	Split	00:00:00.196	00:00:44.667	Tue, Mar 1, 2022 at 10:42:38.690
146	Split	00:00:00.169	00:00:44.836	Tue, Mar 1, 2022 at 10:42:38.859
147	Split	00:00:00.186	00:00:45.022	Tue, Mar 1, 2022 at 10:42:39.045
148	Split	00:00:00.233	00:00:45.255	Tue, Mar 1, 2022 at 10:42:39.278
149	Split	00:00:00.218	00:00:45.473	Tue, Mar 1, 2022 at 10:42:39.496
150	Split	00:00:00.177	00:00:45.650	Tue, Mar 1, 2022 at 10:42:39.673
151	Split	00:00:00.204	00:00:45.854	Tue, Mar 1, 2022 at 10:42:39.877
152	Split	00:00:00.196	00:00:46.050	Tue, Mar 1, 2022 at 10:42:40.073
153	Split	00:00:00.161	00:00:46.211	Tue, Mar 1, 2022 at 10:42:40.234
154	Split	00:00:00.174	00:00:46.385	Tue, Mar 1, 2022 at 10:42:40.408
155	Split	00:00:00.209	00:00:46.594	Tue, Mar 1, 2022 at 10:42:40.617
156	Split	00:00:00.224	00:00:46.818	Tue, Mar 1, 2022 at 10:42:40.841
